id,title,revenue,budget,year_movie,profit
206647,Spectre,"880,674,609","245,000,000",2015,"635,674,609"
57800,Ice Age: Continental Drift,"877,244,782","95,000,000",2012,"782,244,782"
672,Harry Potter and the Chamber of Secrets,"876,688,482","100,000,000",2002,"776,688,482"
328111,The Secret Life of Pets,"875,457,937","75,000,000",2016,"800,457,937"
209112,Batman v Superman: Dawn of Justice,"873,260,194","250,000,000",2016,"623,260,194"
120,The Lord of the Rings: The Fellowship of the Ring,"871,368,364","93,000,000",2001,"778,368,364"
283995,Guardians of the Galaxy Vol. 2,"863,416,141","200,000,000",2017,"663,416,141"
150540,Inside Out,"857,611,174","175,000,000",2015,"682,611,174"
1895,Star Wars: Episode III - Revenge of the Sith,"850,000,000","113,000,000",2005,"737,000,000"
101299,The Hunger Games: Catching Fire,"847,423,452","130,000,000",2013,"717,423,452"
8373,Transformers: Revenge of the Fallen,"836,297,228","150,000,000",2009,"686,297,228"
50620,The Twilight Saga: Breaking Dawn - Part 2,"829,000,000","120,000,000",2012,"709,000,000"
27205,Inception,"825,532,764","160,000,000",2010,"665,532,764"
557,Spider-Man,"821,708,551","139,000,000",2002,"682,708,551"
297762,Wonder Woman,"820,580,447","149,000,000",2017,"671,580,447"
602,Independence Day,"816,969,268","75,000,000",1996,"741,969,268"
259316,Fantastic Beasts and Where to Find Them,"809,342,332","180,000,000",2016,"629,342,332"
810,Shrek the Third,"798,958,165","160,000,000",2007,"638,958,165"
166426,Pirates of the Caribbean: Dead Men Tell No Tales,"794,191,988","230,000,000",2017,"564,191,988"
601,E.T. the Extra-Terrestrial,"792,965,326","10,500,000",1982,"782,465,326"
673,Harry Potter and the Prisoner of Azkaban,"789,804,554","130,000,000",2004,"659,804,554"
82992,Fast & Furious 6,"788,679,850","160,000,000",2013,"628,679,850"
8587,The Lion King,"788,241,776","45,000,000",1994,"743,241,776"
217,Indiana Jones and the Kingdom of the Crystal Skull,"786,636,033","185,000,000",2008,"601,636,033"
558,Spider-Man 2,"783,766,341","200,000,000",2004,"583,766,341"
293660,Deadpool,"783,112,979","58,000,000",2016,"725,112,979"
11,Star Wars,"775,398,007","11,000,000",1977,"764,398,007"
118340,Guardians of the Galaxy,"773,328,629","170,000,000",2014,"603,328,629"
14161,2012,"769,653,595","200,000,000",2009,"569,653,595"
591,The Da Vinci Code,"767,820,459","125,000,000",2006,"642,820,459"
102651,Maleficent,"758,539,785","180,000,000",2014,"578,539,785"
10192,Shrek Forever After,"752,600,867","165,000,000",2010,"587,600,867"
1930,The Amazing Spider-Man,"752,215,857","215,000,000",2012,"537,215,857"
131631,The Hunger Games: Mockingjay - Part 1,"752,100,229","125,000,000",2014,"627,100,229"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","748,806,957","180,000,000",2005,"568,806,957"
127585,X-Men: Days of Future Past,"747,862,775","250,000,000",2014,"497,862,775"
80321,Madagascar 3: Europe's Most Wanted,"746,921,274","145,000,000",2012,"601,921,274"
297761,Suicide Squad,"745,600,054","175,000,000",2016,"570,600,054"
62211,Monsters University,"743,559,607","200,000,000",2013,"543,559,607"
604,The Matrix Reloaded,"738,599,701","150,000,000",2003,"588,599,701"
14160,Up,"735,099,082","175,000,000",2009,"560,099,082"
49047,Gravity,"716,392,705","105,000,000",2013,"611,392,705"
100402,Captain America: The Winter Soldier,"714,766,572","170,000,000",2014,"544,766,572"
50619,The Twilight Saga: Breaking Dawn - Part 1,"712,171,856","110,000,000",2011,"602,171,856"
119450,Dawn of the Planet of the Apes,"710,644,566","170,000,000",2014,"540,644,566"
18239,The Twilight Saga: New Moon,"709,827,462","50,000,000",2009,"659,827,462"
1858,Transformers,"709,709,780","150,000,000",2007,"559,709,780"
102382,The Amazing Spider-Man 2,"705,717,432","200,000,000",2014,"505,717,432"
24021,The Twilight Saga: Eclipse,"698,491,347","68,000,000",2010,"630,491,347"
56292,Mission: Impossible - Ghost Protocol,"694,713,380","145,000,000",2011,"549,713,380"
70160,The Hunger Games,"691,210,692","75,000,000",2012,"616,210,692"
177677,Mission: Impossible - Rogue Nation,"682,330,139","150,000,000",2015,"532,330,139"
13,Forrest Gump,"677,945,399","55,000,000",1994,"622,945,399"
284052,Doctor Strange,"677,718,395","165,000,000",2016,"512,718,395"
157336,Interstellar,"675,120,017","165,000,000",2014,"510,120,017"
745,The Sixth Sense,"672,806,292","40,000,000",1999,"632,806,292"
49444,Kung Fu Panda 2,"665,692,281","150,000,000",2011,"515,692,281"
49521,Man of Steel,"662,845,518","225,000,000",2013,"437,845,518"
950,Ice Age: The Meltdown,"660,940,780","80,000,000",2006,"580,940,780"
22,Pirates of the Caribbean: The Curse of the Black Pearl,"655,011,224","140,000,000",2003,"515,011,224"
131634,The Hunger Games: Mockingjay - Part 2,"653,428,261","160,000,000",2015,"493,428,261"
177572,Big Hero 6,"652,105,443","165,000,000",2014,"487,105,443"
1894,Star Wars: Episode II - Attack of the Clones,"649,398,328","120,000,000",2002,"529,398,328"
76338,Thor: The Dark World,"644,571,402","170,000,000",2013,"474,571,402"
277834,Moana,"643,034,466","150,000,000",2016,"493,034,466"
335797,Sing,"632,443,719","75,000,000",2016,"557,443,719"
9502,Kung Fu Panda,"631,744,560","130,000,000",2008,"501,744,560"
9806,The Incredibles,"631,442,092","92,000,000",2004,"539,442,092"
286217,The Martian,"630,161,890","108,000,000",2015,"522,161,890"
51497,Fast Five,"626,137,675","125,000,000",2011,"501,137,675"
8960,Hancock,"624,029,371","150,000,000",2008,"474,029,371"
41154,Men in Black 3,"624,026,776","225,000,000",2012,"399,026,776"
10138,Iron Man 2,"623,933,331","200,000,000",2010,"423,933,331"
2062,Ratatouille,"623,722,818","150,000,000",2007,"473,722,818"
263115,Logan,"616,801,808","97,000,000",2017,"519,801,808"
615,The Passion of the Christ,"611,899,420","30,000,000",2004,"581,899,420"
11631,Mamma Mia!,"609,841,637","52,000,000",2008,"557,841,637"
82702,How to Train Your Dragon 2,"609,123,048","145,000,000",2014,"464,123,048"
87827,Life of Pi,"609,016,565","120,000,000",2012,"489,016,565"
335988,Transformers: The Last Knight,"604,942,143","260,000,000",2017,"344,942,143"
10527,Madagascar: Escape 2 Africa,"603,900,354","150,000,000",2008,"453,900,354"
36557,Casino Royale,"599,045,960","150,000,000",2006,"449,045,960"
38757,Tangled,"591,794,936","260,000,000",2010,"331,794,936"
74,War of the Worlds,"591,739,379","132,000,000",2005,"459,739,379"
607,Men in Black,"589,390,539","90,000,000",1997,"499,390,539"
10764,Quantum of Solace,"586,090,727","200,000,000",2008,"386,090,727"
6479,I Am Legend,"585,349,010","150,000,000",2007,"435,349,010"
49519,The Croods,"585,178,928","135,000,000",2013,"450,178,928"
1726,Iron Man,"585,174,222","140,000,000",2008,"445,174,222"
1593,Night at the Museum,"574,480,841","110,000,000",2006,"464,480,841"
1892,Return of the Jedi,"572,700,000","32,350,000",1983,"540,350,000"
12092,Alice in Wonderland,"572,000,000","3,000,000",2051,"569,000,000"
216015,Fifty Shades of Grey,"571,006,128","40,000,000",2015,"531,006,128"
293167,Kong: Skull Island,"566,652,812","185,000,000",2017,"381,652,812"
41513,The Smurfs,"563,749,323","110,000,000",2011,"453,749,323"
585,"Monsters, Inc.","562,816,256","115,000,000",2001,"447,816,256"
49013,Cars 2,"559,852,396","200,000,000",2011,"359,852,396"
381890,The Mermaid,"553,810,228","60,720,000",2016,"493,090,228"
95,Armageddon,"553,799,566","140,000,000",1998,"413,799,566"
254,King Kong,"550,000,000","207,000,000",2005,"343,000,000"
72105,Ted,"549,368,315","50,000,000",2012,"499,368,315"
955,Mission: Impossible II,"546,388,105","125,000,000",2000,"421,388,105"
435,The Day After Tomorrow,"544,272,402","125,000,000",2004,"419,272,402"
246655,X-Men: Apocalypse,"543,934,787","178,000,000",2016,"365,934,787"
150689,Cinderella,"543,514,353","95,000,000",2015,"448,514,353"
20352,Despicable Me,"543,513,985","69,000,000",2010,"474,513,985"
190859,American Sniper,"542,307,423","58,800,000",2014,"483,507,423"
62177,Brave,"538,983,207","185,000,000",2012,"353,983,207"
1891,The Empire Strikes Back,"538,400,000","18,000,000",1980,"520,400,000"
281957,The Revenant,"532,950,503","135,000,000",2015,"397,950,503"
953,Madagascar,"532,680,671","75,000,000",2005,"457,680,671"
72190,World War Z,"531,865,000","200,000,000",2013,"331,865,000"
124905,Godzilla,"529,076,069","160,000,000",2014,"369,076,069"
35,The Simpsons Movie,"527,068,851","75,000,000",2007,"452,068,851"
10528,Sherlock Holmes,"524,028,679","90,000,000",2009,"434,028,679"
10681,WALL·E,"521,311,860","180,000,000",2008,"341,311,860"
140300,Kung Fu Panda 3,"521,170,825","145,000,000",2016,"376,170,825"
280,Terminator 2: Judgment Day,"520,000,000","100,000,000",1991,"420,000,000"
374720,Dunkirk,"519,876,949","100,000,000",2017,"419,876,949"
102899,Ant-Man,"519,311,965","130,000,000",2015,"389,311,965"
693,Meet the Fockers,"516,642,939","80,000,000",2004,"436,642,939"
251,Ghost,"505,000,000","22,000,000",1990,"483,000,000"
812,Aladdin,"504,050,219","28,000,000",1992,"476,050,219"
172385,Rio 2,"500,188,435","103,000,000",2014,"397,188,435"
295693,The Boss Baby,"498,814,908","125,000,000",2017,"373,814,908"
652,Troy,"497,409,852","175,000,000",2004,"322,409,852"
863,Toy Story 2,"497,366,869","90,000,000",1999,"407,366,869"
10191,How to Train Your Dragon,"494,878,759","165,000,000",2010,"329,878,759"
664,Twister,"494,471,524","92,000,000",1996,"402,471,524"
68728,Oz: The Great and Powerful,"491,868,548","200,000,000",2013,"291,868,548"
46195,Rio,"484,635,760","90,000,000",2011,"394,635,760"
310,Bruce Almighty,"484,572,835","80,000,000",2003,"404,572,835"
808,Shrek,"484,409,218","60,000,000",2001,"424,409,218"
61791,Rise of the Planet of the Apes,"482,860,185","93,000,000",2011,"389,860,185"
857,Saving Private Ryan,"481,840,909","70,000,000",1998,"411,840,909"
787,Mr. & Mrs. Smith,"478,207,520","110,000,000",2005,"368,207,520"
98566,Teenage Mutant Ninja Turtles,"477,200,000","125,000,000",2014,"352,200,000"
771,Home Alone,"476,684,675","18,000,000",1990,"458,684,675"
118,Charlie and the Chocolate Factory,"474,968,763","150,000,000",2005,"324,968,763"
89,Indiana Jones and the Last Crusade,"474,171,806","48,000,000",1989,"426,171,806"
159824,Hotel Transylvania 2,"473,226,958","80,000,000",2015,"393,226,958"
82690,Wreck-It Ralph,"471,222,889","165,000,000",2012,"306,222,889"
578,Jaws,"470,654,000","7,000,000",1975,"463,654,000"
254128,San Andreas,"470,490,832","110,000,000",2015,"360,490,832"
137106,The Lego Movie,"469,160,692","60,000,000",2014,"409,160,692"
54138,Star Trek Into Darkness,"467,365,246","190,000,000",2013,"277,365,246"
603,The Matrix,"463,517,383","63,000,000",1999,"400,517,383"
114,Pretty Woman,"463,000,000","14,000,000",1990,"449,000,000"
920,Cars,"461,983,149","120,000,000",2006,"341,983,149"
36668,X-Men: The Last Stand,"459,359,555","210,000,000",2006,"249,359,555"
18785,The Hangover,"459,270,619","35,000,000",2009,"424,270,619"
954,Mission: Impossible,"457,696,359","80,000,000",1996,"377,696,359"
98,Gladiator,"457,640,427","103,000,000",2000,"354,640,427"
6637,National Treasure: Book of Secrets,"457,363,168","130,000,000",2007,"327,363,168"
616,The Last Samurai,"456,758,981","140,000,000",2003,"316,758,981"
161,Ocean's Eleven,"450,717,150","85,000,000",2001,"365,717,150"
10195,Thor,"449,326,618","150,000,000",2011,"299,326,618"
676,Pearl Harbor,"449,220,945","140,000,000",2001,"309,220,945"
37135,Tarzan,"448,000,000","150,000,000",1999,"298,000,000"
313369,La La Land,"445,435,700","30,000,000",2016,"415,435,700"
23398,Alvin and the Chipmunks: The Squeakquel,"443,140,005","75,000,000",2009,"368,140,005"
2503,The Bourne Ultimatum,"442,824,138","70,000,000",2007,"372,824,138"
608,Men in Black II,"441,818,803","140,000,000",2002,"301,818,803"
82695,Les Misérables,"441,809,770","61,000,000",2012,"380,809,770"
9552,The Exorcist,"441,306,145","8,000,000",1973,"433,306,145"
788,Mrs. Doubtfire,"441,286,195","25,000,000",1993,"416,286,195"
87101,Terminator Genisys,"440,603,537","155,000,000",2015,"285,603,537"
296,Terminator 3: Rise of the Machines,"435,000,000","200,000,000",2003,"235,000,000"
68735,Warcraft,"433,677,183","160,000,000",2016,"273,677,183"
1734,The Mummy Returns,"433,013,274","98,000,000",2001,"335,013,274"
36669,Die Another Day,"431,971,116","140,000,000",2002,"291,971,116"
8358,Cast Away,"429,632,142","90,000,000",2000,"339,632,142"
77338,The Intouchables,"426,480,871","13,000,000",2011,"413,480,871"
68718,Django Unchained,"425,368,238","100,000,000",2012,"325,368,238"
605,The Matrix Revolutions,"424,988,211","150,000,000",2003,"274,988,211"
581,Dances with Wolves,"424,208,848","22,000,000",1990,"402,208,848"
1271,300,"422,610,419","65,000,000",2006,"357,610,419"
2454,The Chronicles of Narnia: Prince Caspian,"419,651,413","225,000,000",2008,"194,651,413"
564,The Mummy,"415,885,488","80,000,000",1999,"335,885,488"
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,"415,686,217","155,000,000",2010,"260,686,217"
324668,Jason Bourne,"415,484,914","120,000,000",2016,"295,484,914"
76170,The Wolverine,"415,440,673","120,000,000",2013,"295,440,673"
4564,Sex and the City,"415,252,786","65,000,000",2008,"350,252,786"
207703,Kingsman: The Secret Service,"414,351,546","81,000,000",2015,"333,351,546"
45269,The King's Speech,"414,211,549","15,000,000",2010,"399,211,549"
18360,Night at the Museum: Battle of the Smithsonian,"413,106,170","150,000,000",2009,"263,106,170"
380,Rain Man,"412,800,000","25,000,000",1988,"387,800,000"
268,Batman,"411,348,924","35,000,000",1989,"376,348,924"
619,The Bodyguard,"411,006,740","25,000,000",1992,"386,006,740"
278154,Ice Age: Collision Course,"408,579,038","105,000,000",2016,"303,579,038"
2675,Signs,"408,247,917","72,000,000",2002,"336,247,917"
282035,The Mummy,"407,778,013","125,000,000",2017,"282,778,013"
36658,X2,"407,711,549","110,000,000",2003,"297,711,549"
68726,Pacific Rim,"407,602,906","180,000,000",2013,"227,602,906"
70981,Prometheus,"403,170,142","130,000,000",2012,"273,170,142"
1735,The Mummy: Tomb of the Dragon Emperor,"401,128,639","145,000,000",2008,"256,128,639"
770,Gone with the Wind,"400,176,459","4,000,000",2039,"396,176,459"
20526,TRON: Legacy,"400,062,763","170,000,000",2010,"230,062,763"
956,Mission: Impossible III,"397,850,012","150,000,000",2006,"247,850,012"
58595,Snow White and the Huntsman,"396,600,000","170,000,000",2012,"226,600,000"
8966,Twilight,"392,616,625","37,000,000",2008,"355,616,625"
106646,The Wolf of Wall Street,"392,000,694","100,000,000",2013,"292,000,694"
1452,Superman Returns,"391,081,192","270,000,000",2006,"121,081,192"
8367,Robin Hood: Prince of Thieves,"390,493,908","48,000,000",1991,"342,493,908"
85,Raiders of the Lost Ark,"389,925,971","18,000,000",1981,"371,925,971"
47933,Independence Day: Resurgence,"389,681,935","165,000,000",2016,"224,681,935"
13475,Star Trek,"385,680,446","150,000,000",2009,"235,680,446"
334298,Monster Hunt,"385,284,817","40,000,000",2015,"345,284,817"
9836,Happy Feet,"384,335,608","100,000,000",2006,"284,335,608"
1571,Live Free or Die Hard,"383,531,464","110,000,000",2007,"273,531,464"
425,Ice Age,"383,257,136","59,000,000",2002,"324,257,136"
15512,Monsters vs Aliens,"381,509,870","175,000,000",2009,"206,509,870"
105,Back to the Future,"381,109,762","19,000,000",1985,"362,109,762"
929,Godzilla,"379,014,294","130,000,000",1998,"249,014,294"
36955,True Lies,"378,882,411","115,000,000",1994,"263,882,411"
76341,Mad Max: Fury Road,"378,858,340","150,000,000",2015,"228,858,340"
341174,Fifty Shades Darker,"378,827,494","55,000,000",2017,"323,827,494"
12405,Slumdog Millionaire,"377,910,544","15,000,000",2008,"362,910,544"
10020,Beauty and the Beast,"377,350,553","25,000,000",1991,"352,350,553"
82675,Taken 2,"376,141,306","45,000,000",2012,"331,141,306"
272,Batman Begins,"374,218,673","150,000,000",2005,"224,218,673"
3981,What Women Want,"374,111,707","70,000,000",2000,"304,111,707"
862,Toy Story,"373,554,033","30,000,000",1995,"343,554,033"
270946,Penguins of Madagascar,"373,552,094","132,000,000",2014,"241,552,094"
2080,X-Men Origins: Wolverine,"373,062,864","150,000,000",2009,"223,062,864"
2268,The Golden Compass,"372,234,864","180,000,000",2007,"192,234,864"
17578,The Adventures of Tintin,"371,940,071","130,000,000",2011,"241,940,071"
72559,G.I. Joe: Retaliation,"371,876,278","130,000,000",2013,"241,876,278"
534,Terminator Salvation,"371,353,001","200,000,000",2009,"171,353,001"
1771,Captain America: The First Avenger,"370,569,774","140,000,000",2011,"230,569,774"
137113,Edge of Tomorrow,"370,541,256","178,000,000",2014,"192,541,256"
281338,War for the Planet of the Apes,"369,907,963","152,000,000",2017,"217,907,963"
544,There's Something About Mary,"369,884,651","23,000,000",1998,"346,884,651"
210577,Gone Girl,"369,330,363","61,000,000",2014,"308,330,363"
5503,The Fugitive,"368,875,760","44,000,000",1993,"324,875,760"
228161,Home,"368,871,007","135,000,000",2015,"233,871,007"
331,Jurassic Park III,"368,780,809","93,000,000",2001,"275,780,809"
8346,My Big Fat Greek Wedding,"368,744,044","5,000,000",2002,"363,744,044"
8488,Hitch,"368,100,420","70,000,000",2005,"298,100,420"
10555,Shark Tale,"367,275,019","75,000,000",2004,"292,275,019"
1572,Die Hard: With a Vengeance,"366,101,666","90,000,000",1995,"276,101,666"
509,Notting Hill,"363,889,678","42,000,000",1999,"321,889,678"
9487,A Bug's Life,"363,258,859","120,000,000",1998,"243,258,859"
13804,Fast & Furious,"363,164,265","85,000,000",2009,"278,164,265"
163,Ocean's Twelve,"362,744,280","110,000,000",2004,"252,744,280"
86834,Noah,"362,637,473","125,000,000",2014,"237,637,473"
869,Planet of the Apes,"362,211,740","100,000,000",2001,"262,211,740"
109439,The Hangover Part III,"362,000,072","103,000,000",2013,"259,000,072"
36643,The World Is Not Enough,"361,832,400","135,000,000",1999,"226,832,400"
6477,Alvin and the Chipmunks,"361,366,633","60,000,000",2007,"301,366,633"
772,Home Alone 2: Lost in New York,"358,991,681","18,000,000",1992,"340,991,681"
76492,Hotel Transylvania,"358,375,603","85,000,000",2012,"273,375,603"
180,Minority Report,"358,372,926","102,000,000",2002,"256,372,926"
38575,The Karate Kid,"357,852,395","40,000,000",2010,"317,852,395"
744,Top Gun,"356,830,601","15,000,000",1986,"341,830,601"
258489,The Legend of Tarzan,"356,743,061","180,000,000",2016,"176,743,061"
13448,Angels & Demons,"356,613,439","150,000,000",2009,"206,613,439"
14,American Beauty,"356,296,601","15,000,000",1999,"341,296,601"
72545,Journey 2: The Mysterious Island,"355,692,760","79,000,000",2012,"276,692,760"
568,Apollo 13,"355,237,933","52,000,000",1995,"303,237,933"
10567,Dinosaur,"354,248,063","127,500,000",2000,"226,748,063"
49538,X-Men: First Class,"353,624,124","160,000,000",2011,"193,624,124"
402,Basic Instinct,"352,927,224","49,000,000",1992,"303,927,224"
710,GoldenEye,"352,194,034","58,000,000",1995,"294,194,034"
640,Catch Me If You Can,"352,114,312","52,000,000",2002,"300,114,312"
9740,Hannibal,"351,692,268","87,000,000",2001,"264,692,268"
854,The Mask,"351,583,407","23,000,000",1994,"328,583,407"
64682,The Great Gatsby,"351,040,419","105,000,000",2013,"246,040,419"
1637,Speed,"350,448,145","30,000,000",1994,"320,448,145"
260514,Cars 3,"350,170,057","175,000,000",2017,"175,170,057"
153518,The Angry Birds Movie,"349,779,543","73,000,000",2016,"276,779,543"
181533,Night at the Museum: Secret of the Tomb,"349,424,282","127,000,000",2014,"222,424,282"
73723,The Lorax,"348,840,316","70,000,000",2012,"278,840,316"
198663,The Maze Runner,"348,319,861","34,000,000",2014,"314,319,861"
2059,National Treasure,"347,451,894","100,000,000",2004,"247,451,894"
77931,The Smurfs 2,"347,434,178","105,000,000",2013,"242,434,178"
5175,Rush Hour 2,"347,325,802","90,000,000",2001,"257,325,802"
2048,"I, Robot","347,234,916","120,000,000",2004,"227,234,916"
136799,Trolls,"346,864,462","125,000,000",2016,"221,864,462"
47971,xXx: Return of Xander Cage,"346,147,658","85,000,000",2017,"261,147,658"
10530,Pocahontas,"346,079,773","55,000,000",1995,"291,079,773"
8871,How the Grinch Stole Christmas,"345,141,403","123,000,000",2000,"222,141,403"
188927,Star Trek Beyond,"343,471,816","185,000,000",2016,"158,471,816"
7518,Over the Hedge,"343,397,247","80,000,000",2006,"263,397,247"
55301,Alvin and the Chipmunks: Chipwrecked,"342,695,435","75,000,000",2011,"267,695,435"
888,The Flintstones,"341,631,208","46,000,000",1994,"295,631,208"
4523,Enchanted,"340,487,652","85,000,000",2007,"255,487,652"
53182,300: Rise of an Empire,"337,580,051","110,000,000",2014,"227,580,051"
414,Batman Forever,"336,529,144","100,000,000",1995,"236,529,144"
9543,Prince of Persia: The Sands of Time,"335,154,643","150,000,000",2010,"185,154,643"
9802,The Rock,"335,062,621","75,000,000",1996,"260,062,621"
291805,Now You See Me 2,"334,901,337","90,000,000",2016,"244,901,337"
58574,Sherlock Holmes: A Game of Shadows,"334,615,000","125,000,000",2011,"209,615,000"
4922,The Curious Case of Benjamin Button,"333,932,083","150,000,000",2008,"183,932,083"
714,Tomorrow Never Dies,"333,011,068","110,000,000",1997,"223,011,068"
87,Indiana Jones and the Temple of Doom,"333,000,000","28,000,000",1984,"305,000,000"
165,Back to the Future Part II,"332,000,000","40,000,000",1989,"292,000,000"
311324,The Great Wall,"331,957,105","150,000,000",2016,"181,957,105"
105864,The Good Dinosaur,"331,926,147","175,000,000",2015,"156,926,147"
9738,Fantastic Four,"330,579,719","100,000,000",2005,"230,579,719"
1597,Meet the Parents,"330,444,045","55,000,000",2000,"275,444,045"
856,Who Framed Roger Rabbit,"329,803,958","70,000,000",1988,"259,803,958"
9671,Crocodile Dundee,"328,203,506","5,000,000",1986,"323,203,506"
44214,Black Swan,"327,803,731","13,000,000",2010,"314,803,731"
807,Se7en,"327,311,859","33,000,000",1995,"294,311,859"
350,The Devil Wears Prada,"326,551,094","35,000,000",2006,"291,551,094"
260346,Taken 3,"325,771,424","48,000,000",2014,"277,771,424"
2133,The Perfect Storm,"325,756,637","120,000,000",2000,"205,756,637"
17979,A Christmas Carol,"325,233,863","200,000,000",2009,"125,233,863"
38055,Megamind,"321,887,208","130,000,000",2010,"191,887,208"
943,Lethal Weapon 3,"321,731,527","35,000,000",1992,"286,731,527"
424,Schindler's List,"321,365,567","22,000,000",1993,"299,365,567"
11674,101 Dalmatians,"320,689,294","54,000,000",1996,"266,689,294"
259693,The Conjuring 2,"320,170,008","40,000,000",2016,"280,170,008"
10998,Fatal Attraction,"320,145,693","14,000,000",1987,"306,145,693"
16869,Inglourious Basterds,"319,131,050","70,000,000",2009,"249,131,050"
10196,The Last Airbender,"318,502,923","150,000,000",2010,"168,502,923"
138843,The Conjuring,"318,000,141","13,000,000",2013,"305,000,141"
18240,The Proposal,"317,375,031","40,000,000",2009,"277,375,031"
90,Beverly Hills Cop,"316,360,478","15,000,000",1984,"301,360,478"
9772,Air Force One,"315,156,409","85,000,000",1997,"230,156,409"
9982,Chicken Little,"314,432,665","150,000,000",2005,"164,432,665"
2898,As Good as It Gets,"314,178,011","50,000,000",1997,"264,178,011"
453,A Beautiful Mind,"313,542,341","60,000,000",2001,"253,542,341"
76163,The Expendables 2,"312,573,423","100,000,000",2012,"212,573,423"
173897,Resident Evil: The Final Chapter,"312,242,626","40,000,000",2016,"272,242,626"
324849,The Lego Batman Movie,"311,950,384","80,000,000",2017,"231,950,384"
228165,The SpongeBob Movie: Sponge Out of Water,"311,594,032","74,000,000",2015,"237,594,032"
298,Ocean's Thirteen,"311,312,624","85,000,000",2007,"226,312,624"
294254,Maze Runner: The Scorch Trials,"311,256,926","61,000,000",2015,"250,256,926"
817,Austin Powers: The Spy Who Shagged Me,"310,940,086","33,000,000",1999,"277,940,086"
